Change_Type,Package_Name,Package_Type,Old_Version,New_Version,Old_Install_Time,New_Install_Time
Added,/usr/include/X11/extensions/dri2tokens.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/openssl/ebcdic.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/gpgconf.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/Unicode/Collate/Locale/hy.pl,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/TAP/Parser/Result/Bailout.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/asm-generic/termbits.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/mit-krb5/krb5/kdcpreauth_plugin.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/girepository-1.0/GLib-2.0.typelib,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/git/RelNotes/1.7.0.8.txt,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libapr1t64/NOTICE,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/tcltk/tcl8.6/msgs/th.msg,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/linux/mount.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/XtAppAddSignal.3.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/openssl/conferr.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/gcc/x86_64-linux-gnu/14/libstdc++fs.a,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/linux/uapi/x86/asm/stat.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/ImageMagick-7.1.1/modules-Q16/coders/ftxt.la,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/git-replay.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/jbig85.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/eo/LC_MESSAGES/findutils.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/c++/14/ext/pb_ds/detail/gp_hash_table_map_/erase_store_hash_fn_imps.hpp,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/ro/LC_MESSAGES/findutils.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/ImageMagick-7.1.1/modules-Q16/coders/url.la,file,,,,2025-10-30T08:55:44Z
Added,perl-base,library,,5.40.1-6,,2025-10-30T08:55:44Z
Added,/etc/ld.so.conf,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/I18N/Collate.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/Imath/PyImathVec4ArrayImpl.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/X11/HookObjI.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/X11/Xtrans/Xtransutil.c,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/x86_64-linux-gnu/bits/atomic_wide_counter.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/gcc-14-base/TODO.Debian,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/fi/LC_MESSAGES/bash.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/python3/dist-packages/mercurial/templates/atom/bookmarkentry.tmpl,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/freetype2/freetype/fterrors.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/x86_64-linux-gnu/sys/single_threaded.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/gcc/x86_64-linux-gnu/14/libitm.a,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/linux/uapi/arm/asm/unistd-eabi.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/liblqr-1-0-dev/html/ref-lqr-carver-set-energy-function-builtin.html,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/bash-completion/completions/renice,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/sq.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/patch.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/tcltk/tcl8.6/msgs/ar_jo.msg,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/ImageMagick-7.1.1/modules-Q16/coders/ps.la,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/perl/5.40.1/linux/ioctl.ph,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/unicode/unumberformatter.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/libssh2_session_abstract.3.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/bin/gresource,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/liblqr-1-0-dev/html/ref-lqr-carver-init.html,file,,,,2025-10-30T08:55:44Z
Added,/var/lib/dpkg/info/libx11-6:amd64.md5sums,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/Pod/Simple/JustPod.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/linux/uapi/s390/asm/setup.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/grp.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libffi8/changelog.Debian.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/lintian/overrides/libgssapi-krb5-2,file,,,,2025-10-30T08:55:44Z
Added,/var/lib/dpkg/info/base-files.postrm,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/h2xs.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/nettle/ctr.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/scsi/sg.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/linux/uapi/mips/asm/statfs.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/fontconfig/conf.avail/90-synthetic.conf,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/ja/man8/pwconv.8.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/terminfo/t/tmux-256color,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/Dpkg::File.3perl.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/tcl8.6/tcl-private/compat/string.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/c++/14/ext/atomicity.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/libwmf/gd/gdfontl.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/python3.13/zoneinfo/__init__.py,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/linux/fib_rules.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/OpenEXR/ImfFlatImageChannel.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/lber_types.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/openssl/decoder.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/tcl8.6/tcl-private/compat/dlfcn.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/fr/man5/subgid.5.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/python3.13/encodings/cp875.py,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/python3/dist-packages/mercurial/helptext/internals/bundles.txt,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/linux/tc_ematch/tc_em_ipt.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/crh/LC_MESSAGES/gdk-pixbuf.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/ldap_compare_s.3.gz,file,,,,2025-10-30T08:55:44Z
Added,libxrender-dev,library,,1:0.9.12-1,,2025-10-30T08:55:44Z
Added,/usr/lib/git-core/mergetools/xxdiff,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/sq-key-userid-revoke.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/python3.13/tabnanny.py,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/libfftw3f.so.3.6.10,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libzstd-dev/examples/multiple_simple_compression.c,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/x11proto-dev/xwaylandproto.txt,file,,,,2025-10-30T08:55:44Z
Added,libhwasan0,library,,14.2.0-19,,2025-10-30T08:55:44Z
Added,/usr/share/doc/ca-certificates/examples/ca-certificates-local/README,file,,,,2025-10-30T08:55:44Z
Added,/var/lib/dpkg/info/libexpat1:amd64.md5sums,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Jg/Alef.pl,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/common-licenses/MPL-1.1,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/linux/virtio_iommu.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/ImageMagick-7/MagickCore/cache-view.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/X11/extensions/dbe.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libfftw3-bin/changelog.Debian.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/pl/LC_MESSAGES/m4.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/uk/LC_MESSAGES/elfutils.mo,file,,,,2025-10-30T08:55:44Z
Added,/var/lib/dpkg/info/gir1.2-glib-2.0-dev:amd64.md5sums,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/c++/14/bits/std_mutex.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/linux/gsmmux.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/liblqr-1-0-dev/html/ref-lqr-carver-get-height.html,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/ru/man5/passwd.5.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/zoneinfo/America/Boise,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/argp.h,file,,,,2025-10-30T08:55:44Z
Added,/var/lib/dpkg/info/libmount1:amd64.md5sums,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/ImageMagick-7.1.1/modules-Q16/coders/pdb.la,file,,,,2025-10-30T08:55:44Z
